policy,seed,type,instance,nnodes,nlps,stime,finalgap,50_gap,100_gap,200_gap,status,ndomchgs,ncutoffs,walltime,proctime
gcnn:baseline,60,small,data/instances/facilities/test_100_100_5/instance_25.lp,189,350,29.04,0.0,0.003541725327033005,0.0031923990031009317,0,optimal,0,0,28.91793278977275,29.874776374001158
gcnn:baseline,80,small,data/instances/facilities/test_100_100_5/instance_25.lp,199,377,34.77,0.0,0.0035908887631778677,0.002682801068190405,0,optimal,0,0,34.71365620568395,35.68796721899889
gcnn:baseline,100,small,data/instances/facilities/test_100_100_5/instance_25.lp,172,315,29.21,0.0,0.0031261232119412256,0.0027248071493063694,0,optimal,0,0,29.030150590464473,29.979254511001272
gcnn:baseline,20,small,data/instances/facilities/test_100_100_5/instance_26.lp,535,701,62.14,0.0,0.004048175416273541,0.0038645314914717236,0.003742306569346679,optimal,0,0,62.95112412981689,64.08015632299976
gcnn:baseline,40,small,data/instances/facilities/test_100_100_5/instance_26.lp,563,750,69.5,0.0,0.00404870653956924,0.0037802612578657154,0.003248116027750637,optimal,0,0,70.27726076543331,71.40857968399905
gcnn:baseline,60,small,data/instances/facilities/test_100_100_5/instance_26.lp,544,732,70.82,0.0,0.004101877562756613,0.003746091421956941,0.0029207629036266773,optimal,0,0,71.76443227380514,72.88825471900054
gcnn:baseline,80,small,data/instances/facilities/test_100_100_5/instance_26.lp,437,588,49.74,0.0,0.003491908164739301,0.0030447293421064755,0.002916632671953341,optimal,0,0,50.06632200628519,51.11240592000104
gcnn:baseline,100,small,data/instances/facilities/test_100_100_5/instance_26.lp,538,755,72.27,0.0,0.0035963365205344123,0.003402898746826238,0.0026275144504326097,optimal,0,0,73.37085729651153,74.50407733900101
gcnn:baseline,20,small,data/instances/facilities/test_100_100_5/instance_27.lp,382,589,55.38,0.0,0.0031523961423879283,0.0027884282863545593,0.002088834385735841,optimal,0,0,55.84403256513178,56.94083451400002
gcnn:baseline,40,small,data/instances/facilities/test_100_100_5/instance_27.lp,302,447,41.49,0.0,0.002754400832890064,0.00240919839433626,0.0018497598814279125,optimal,0,0,41.77357402443886,42.80768885700127
gcnn:baseline,60,small,data/instances/facilities/test_100_100_5/instance_27.lp,359,590,53.79,0.0,0.0028762449917892068,0.002623181805473366,0.0021147222871763967,optimal,0,0,54.23363431543112,55.32065815900023
gcnn:baseline,80,small,data/instances/facilities/test_100_100_5/instance_27.lp,374,607,61.41,0.0,0.003648969099563768,0.0028765212978390637,0.0017243175081994883,optimal,0,0,62.04043346084654,63.14051464899967
gcnn:baseline,100,small,data/instances/facilities/test_100_100_5/instance_27.lp,347,583,59.73,0.0,0.003300275395033637,0.002844039078997388,0.001917986317608442,optimal,0,0,60.2550214510411,61.332472427999164
gcnn:baseline,20,small,data/instances/facilities/test_100_100_5/instance_28.lp,3782,4599,321.83,0.0,0.009014480262169633,0.009000801234154077,0.008857618877410428,optimal,0,0,326.32119751535356,330.25348819699866
gcnn:baseline,40,small,data/instances/facilities/test_100_100_5/instance_28.lp,3807,4582,369.63,0.0,0.00671289381689163,0.006297176218370063,0.006208260681410508,optimal,0,0,375.6055186446756,379.56376947900026
gcnn:baseline,60,small,data/instances/facilities/test_100_100_5/instance_28.lp,3795,4373,383.54,0.0,0.006857852233193478,0.006627241410971076,0.006627241410971076,optimal,0,0,389.5222211070359,393.4672998820006
gcnn:baseline,80,small,data/instances/facilities/test_100_100_5/instance_28.lp,3885,4593,324.92,0.0,0.008055347426071204,0.007625338579137318,0.005981068141311109,optimal,0,0,329.566806236282,333.67970968100053
gcnn:baseline,100,small,data/instances/facilities/test_100_100_5/instance_28.lp,3950,4754,390.42,0.0,0.00976522321762603,0.009414694029867554,0.009045945475296647,optimal,0,0,396.2133454270661,400.54479518300104
gcnn:baseline,20,small,data/instances/facilities/test_100_100_5/instance_29.lp,1043,1275,105.08,0.0,0.0036424131216205046,0.0031581909756744487,0.003044952935444456,optimal,0,0,106.7307114508003,108.42976200900011
gcnn:baseline,40,small,data/instances/facilities/test_100_100_5/instance_29.lp,1212,1457,93.54,0.0,0.0035165164608904785,0.0032784603030153,0.003146050269021799,optimal,0,0,95.10510197281837,96.59261675900052
gcnn:baseline,60,small,data/instances/facilities/test_100_100_5/instance_29.lp,1267,1488,115.48,0.0,0.003835591110840596,0.003835591110840596,0.0035699403047434195,optimal,0,0,117.22571932338178,119.03971581900078
gcnn:baseline,80,small,data/instances/facilities/test_100_100_5/instance_29.lp,863,1050,84.22,0.0,0.003227276159568183,0.0028888001252166274,0.0028888001252166274,optimal,0,0,85.44415553100407,86.97163466299935
