policy,seed,type,instance,nnodes,nlps,stime,gap,status,ndomchgs,ncutoffs,walltime,proctime
gcnn:baseline,100,small,../data/instances/setcover/updated_data/test_500r_1000c_0.05d_0mc_0se/instance_10/instance_10.lp,75,268,3.11,0.0,optimal,0,0,3.211004948243499,3.2645203609999953
internal:relpscost,20,small,../data/instances/setcover/updated_data/test_500r_1000c_0.05d_0mc_0se/instance_11/instance_11.lp,839,1434,11.05,0.0,optimal,370,0,12.302330060862005,12.309527772000024
internal:relpscost,40,small,../data/instances/setcover/updated_data/test_500r_1000c_0.05d_0mc_0se/instance_11/instance_11.lp,1001,1679,11.13,0.0,optimal,407,0,12.399135646410286,12.406259017000025
internal:relpscost,60,small,../data/instances/setcover/updated_data/test_500r_1000c_0.05d_0mc_0se/instance_11/instance_11.lp,973,1502,11.14,0.0,optimal,321,0,12.550581357441843,12.557469807000075
internal:relpscost,80,small,../data/instances/setcover/updated_data/test_500r_1000c_0.05d_0mc_0se/instance_11/instance_11.lp,1031,1683,11.76,0.0,optimal,418,0,13.134716217406094,13.141923427000052
internal:relpscost,100,small,../data/instances/setcover/updated_data/test_500r_1000c_0.05d_0mc_0se/instance_11/instance_11.lp,1174,1848,11.9,0.0,optimal,405,0,13.444625740870833,13.452026641999964
gcnn:baseline,20,small,../data/instances/setcover/updated_data/test_500r_1000c_0.05d_0mc_0se/instance_11/instance_11.lp,969,1625,8.57,0.0,optimal,0,0,9.09696140140295,9.62615499399999
gcnn:baseline,40,small,../data/instances/setcover/updated_data/test_500r_1000c_0.05d_0mc_0se/instance_11/instance_11.lp,927,1508,8.0,0.0,optimal,0,0,8.480312762781978,9.00857178900003
gcnn:baseline,60,small,../data/instances/setcover/updated_data/test_500r_1000c_0.05d_0mc_0se/instance_11/instance_11.lp,894,1413,8.34,0.0,optimal,0,0,8.704042714089155,9.301331851999976
gcnn:baseline,80,small,../data/instances/setcover/updated_data/test_500r_1000c_0.05d_0mc_0se/instance_11/instance_11.lp,863,1351,7.99,0.0,optimal,0,0,8.170945597812533,8.750322458000028
gcnn:baseline,100,small,../data/instances/setcover/updated_data/test_500r_1000c_0.05d_0mc_0se/instance_11/instance_11.lp,908,1455,8.18,0.0,optimal,0,0,8.387791923247278,9.05124414799991
internal:relpscost,20,small,../data/instances/setcover/updated_data/test_500r_1000c_0.05d_0mc_0se/instance_12/instance_12.lp,7,150,3.12,0.0,optimal,13,0,3.3041643174365163,3.3062027830000034
internal:relpscost,40,small,../data/instances/setcover/updated_data/test_500r_1000c_0.05d_0mc_0se/instance_12/instance_12.lp,7,158,3.06,0.0,optimal,15,1,3.2004035292193294,3.2026082129999622
internal:relpscost,60,small,../data/instances/setcover/updated_data/test_500r_1000c_0.05d_0mc_0se/instance_12/instance_12.lp,5,160,3.33,0.0,optimal,12,1,3.5500289825722575,3.5526476390000425
internal:relpscost,80,small,../data/instances/setcover/updated_data/test_500r_1000c_0.05d_0mc_0se/instance_12/instance_12.lp,7,147,2.8,0.0,optimal,12,1,2.988110277801752,2.990054801000042
internal:relpscost,100,small,../data/instances/setcover/updated_data/test_500r_1000c_0.05d_0mc_0se/instance_12/instance_12.lp,7,158,3.02,0.0,optimal,19,0,3.2034499179571867,3.2058338849999473
gcnn:baseline,20,small,../data/instances/setcover/updated_data/test_500r_1000c_0.05d_0mc_0se/instance_12/instance_12.lp,37,192,2.81,0.0,optimal,0,0,2.96000889968127,2.9870152390000158
gcnn:baseline,40,small,../data/instances/setcover/updated_data/test_500r_1000c_0.05d_0mc_0se/instance_12/instance_12.lp,35,198,2.59,0.0,optimal,0,0,2.7197979744523764,2.747238365000044
gcnn:baseline,60,small,../data/instances/setcover/updated_data/test_500r_1000c_0.05d_0mc_0se/instance_12/instance_12.lp,39,230,3.12,0.0,optimal,0,0,3.302788711152971,3.33081663400003
gcnn:baseline,80,small,../data/instances/setcover/updated_data/test_500r_1000c_0.05d_0mc_0se/instance_12/instance_12.lp,37,205,2.61,0.0,optimal,0,0,2.694426759146154,2.721257915000024
